Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry
Media Planning Executive/Manager, Not Disclosed by Recruiter ,5 - 10 yrs, Media Planning| Digital Media,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management"
Sales Executive/Officer, Not Disclosed by Recruiter ,2 - 5 yrs, pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services"
R&D Executive, Not Disclosed by Recruiter ,0 - 1 yrs, Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive,R&D,"Engineering Design , R&D","Recruitment, Staffing"
Technical Support Engineer,"2,00,000 - 4,00,000 PA.",0 - 5 yrs, Technical Support,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Testing Engineer, Not Disclosed by Recruiter ,2 - 5 yrs, manual testing| test engineering| test cases| web testing| web technologies,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services"
System Analyst,"7,00,000 - 17,00,000 PA.",5 - 7 yrs, adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Sales Executive/Officer,"2,00,000 - 3,00,000 PA.",0 - 0 yrs, channel partners| real estate| negotiation| property| Residential Sales,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property"
Technical Architect, Not Disclosed by Recruiter ,9 - 14 yrs, TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Sales Executive/Officer, Not Disclosed by Recruiter ,2 - 7 yrs, Bde,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services"
Associate/Senior Associate -(Technical), Not Disclosed by Recruiter ,1 - 5 yrs, technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Corporate Planning/Strategy Manager,"25,00,000 - 35,00,000 PA.",5 - 10 yrs, secretary| executive assistant| ea,Corporate Planning/Consulting/Strategy,"Strategy , Management Consulting , Corporate Planning","Courier, Transportation, Freight , Warehousing"
Webmaster, Not Disclosed by Recruiter ,1 - 6 yrs, website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,Admin/Maintenance/Security/Datawarehousing,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services"
Process Flow Analyst, Not Disclosed by Recruiter ,2 - 7 yrs, operations| workflow| tat| monitoring| mts| email,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Software Developer,Openings: 1,3 - 7 Years,Oracle IDAM|OIM|OAM,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services
Social Media Marketing Manager,"3,50,000 - 5,00,000 PA.",2 - 4 yrs, digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management"
Senior Design Engineer, Not Disclosed by Recruiter ,2 - 7 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Engineering Design,"Engineering Design , R&D","Industrial Products, Heavy Machinery"
Accounts Manager, Not Disclosed by Recruiter ,3 - 7 yrs, Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,2 - 7 yrs,Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3,Programming & Design,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories"
Software Developer, Not Disclosed by Recruiter ,0 - 3 yrs, C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
